Day,Title,Label,Category,Address,Notes
Day-1,Hotel Fron,Accommodation,Reykjavik,Laugavegur 22a 101 Reykjavik Iceland,Confirmation: 73051105801878
Day-1,Blue Lagoon,Attraction,Highlighted,Blue Lagoon Grindavík Iceland,Famous geothermal spa; book in advance
Day-1,Reykjavik Exploration,Activity,Reykjavik,Downtown Reykjavik Iceland,Explore the capital; buy alcohol at duty-free for savings

Day-2,Hotel Country Dream Guesthouse,Accommodation,Selfoss,Ásvegur 39 800 Selfoss Iceland,Confirmation: 73051117986889
Day-2,Þingvellir National Park,Attraction,Highlighted,Þingvellir National Park Iceland,Continental divide and site of first parliament
Day-2,Geysir Geothermal Area,Attraction,Golden Circle,Geysir Geothermal Area Iceland,Strokkur erupts every 5-7 minutes
Day-2,Gullfoss Waterfall,Waterfall,Highlighted,Gullfoss Waterfall Iceland,Massive two-tiered cascade
Day-2,Reykjadalur Hot Spring Thermal River,Hiking,Highlighted,Reykjadalur Hot Spring Trail Iceland,3-mile moderate hike; 2 hours round trip; natural hot river

Day-3,The Barn,Accommodation,Norðurfoss,Norðurfoss 880 Iceland,Double Room with Shared Bathroom
Day-3,Seljalandsfoss Waterfall,Waterfall,Highlighted,Seljalandsfoss Iceland,$6 parking fee; can walk behind the waterfall
Day-3,Skógafoss Waterfall,Waterfall,Highlighted,Skógafoss Iceland,200-foot waterfall with stairs to the top
Day-3,Vikurfjara Black Sand Beach,Beach,Highlighted,Vikurfjara Black Sand Beach Vík Iceland,Dramatic basalt columns; caution with sneaker waves
Day-3,Dyrhólaey Peninsula,Wildlife,Alternative,Dyrhólaey Peninsula Iceland,Puffins visible July-August; dramatic coastal views

Day-4,Airbnb Höfn,Accommodation,Höfn,Höfn Iceland,Confirmation: HMXME38BS5
Day-4,Svartifoss Waterfall Hike,Hiking,Skaftafell,Svartifoss Skaftafell Iceland,3.5-mile moderate hike with basalt columns
Day-4,Strútsfoss Waterfall,Waterfall,Hidden Gem,Sturluflöt farm Iceland,Hidden gem larger than Hengifoss; accessible with regular car in summer
Day-4,Jokulsarlon Glacier Lagoon Zodiac Tour,Tour,Highlighted,Jökulsárlón Iceland,Pre-booked boat tour of glacier lagoon
Day-4,Diamond Beach,Beach,Highlighted,Diamond Beach Iceland,Ice chunks on black sand beach across from glacier lagoon

Day-5,Seyðisfjörður Guesthouse,Accommodation,Seyðisfjörður,Seyðisfjörður Iceland,Confirmation: 73053225221663
Day-5,East Fjords Coastal Drive,Scenic Drive,Highlighted,East Fjords Iceland,Dramatic fjords and fishing villages
Day-5,Vestrahorn and Stokksnes Beach,Attraction,Highlighted,Stokksnes Iceland,Mountain and black sand beach; $6.50 entrance fee
Day-5,The Waterfall Circle,Hiking,Hidden Gem,Laugarfell Guesthouse Iceland,Hidden gem; 5-mile loop featuring 10 waterfalls
Day-5,Petra's Stone Collection,Museum,Alternative,Fjarðarbraut 21 Stöðvarfjörður Iceland,One of world's largest private mineral collections

Day-6,Ásgeirsstaðir Cottages,Accommodation,Ásgeirsstaðir,Ásgeirsstaðir Iceland,Confirmation: 73055400652002
Day-6,Brúnavík Beach Hike,Hiking,Hidden Gem,Road 94 near Kolbeinsfjara cliffs Iceland,Hidden gem; 5-mile moderate hike; 2.5 hours
Day-6,Stórurð Basin Hike,Hiking,Highlighted,Stórurð Borgarfjörður eystri Iceland,3-mile loop through massive boulders and turquoise pools
Day-6,Hafnarhólmi Puffin Colony,Wildlife,Highlighted,Hafnarhólmi Borgarfjörður eystri Iceland,Peak puffin viewing season in July

Day-7,Airbnb - Hildur (Night 1),Accommodation,Akureyri,Akureyri Iceland,Confirmation: HM8YWHA8PD
Day-7,Ker Cliffs,Hiking,Hidden Gem,Þerribjörg Iceland,Breathtaking sea cliffs; easy 1.5-hour family hike
Day-7,Dettifoss Waterfall,Waterfall,Highlighted,Dettifoss Iceland,Europe's most powerful waterfall; use western side (Route 862)
Day-7,Ásbyrgi Canyon,Hiking,Alternative,Ásbyrgi Canyon Iceland,Horseshoe-shaped canyon with walking paths
Day-7,Goðafoss Waterfall,Waterfall,Highlighted,Goðafoss Iceland,"Waterfall of the Gods"

Day-8,Airbnb - Hildur (Night 2),Accommodation,Akureyri,Akureyri Iceland,Confirmation: HM8YWHA8PD
Day-8,Akureyri Botanical Gardens,Attraction,Akureyri,Eyrarlandsvegur Akureyri Iceland,Northernmost botanical garden
Day-8,Akureyri Church,Attraction,Akureyri,Eyrarlandsvegur Akureyri Iceland,Iconic landmark with stained glass
Day-8,Tröllaskagi Peninsula Drive,Scenic Drive,Alternative,Tröllaskagi Peninsula Iceland,Mountain scenery along Iceland's longest fjord

Day-9,Airbnb - Guðmunda,Accommodation,Ólafsvík,Ólafsvík Iceland,Confirmation: HMB2KXF83A
Day-9,Glaumbaer Turf Farm Museum,Museum,Cultural,Glaumbær Iceland,Historic turf houses; $14.50 entrance
Day-9,Kolugljúfur Canyon,Attraction,Alternative,Kolugljúfur Canyon Iceland,Dramatic canyon with waterfalls
Day-9,Hvítserkur Rock Formation,Attraction,Highlighted,Hvítserkur Iceland,15m basalt stack resembling dragon
Day-9,Seal Watching at Hvammstangi,Wildlife,Alternative,Hvammstangi Iceland,"Seal capital" of Iceland

Day-10,Guesthouse Sunna,Accommodation,Reykjavik,Þórsgata 26 101 Reykjavík Iceland,Confirmation: 73051130187804
Day-10,Kirkjufell Mountain & Waterfall,Attraction,Highlighted,Kirkjufellsfoss Iceland,Iceland's most photographed mountain
Day-10,Djúpalónssandur Black Pebble Beach,Beach,Alternative,Djúpalónssandur Iceland,Dramatic landscape with shipwreck remains
Day-10,Hellnar Coastal Path,Hiking,Highlighted,Hellnar Iceland,2.5-mile coastal walk with volcanic formations
Day-10,Búðakirkja Black Church,Attraction,Alternative,Búðakirkja Iceland,Iconic small black church in lava field

Day-11,Keflavík Airport,Transport,Airport,Keflavík International Airport Iceland,Flight FI 671 KEF->DEN Departs 4:50 PM GMT; Confirmation: 3NEJSO
Day-11,Mount Esja,Hiking,Alternative,Mount Esja Iceland,Optional partial hike if time allows; 1-2 hours
Day-11,Blue Car Rental Return,Transport,Logistics,Keflavík International Airport Iceland,Return Suzuki Vitara 4WD; Confirmation: RVF6FW
